timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T15:48:45.938266+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.25,cost_retail,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T15:48:45.938408+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_inst,1863,0.3892,3.81,-3.20,-0.0881,-0.700,0.1086
2026-05-13T15:52:07.624656+00:00,A1_tgt05_stp03_h60_close,top3,cost_retail,1863,0.3237,2.79,-4.33,-0.3778,-4.321,0.3774
2026-05-13T15:52:13.088225+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_retail,1863,0.3435,2.82,-4.33,-0.3489,-2.773,0.3485
2026-05-13T16:22:01.854880+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T16:22:01.855093+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T16:22:01.855250+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T16:22:01.855390+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T16:22:01.855528+00:00,A1_tgt05_stp03_h60_close,top3,cost_inst,1863,0.3747,3.70,-3.22,-0.1170,-1.338,0.1281
2026-05-13T16:22:01.855668+00:00,A1_tgt05_stp03_h60_close,top3,cost_retail,1863,0.3237,2.79,-4.33,-0.3778,-4.321,0.3774
2026-05-13T16:22:05.858309+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T16:22:05.858523+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T16:22:05.858690+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T16:22:05.858837+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T16:22:05.858975+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_inst,1863,0.3892,3.81,-3.20,-0.0881,-0.700,0.1086
